group,condition,algorithm,grid,seed,success_rate,mean_undiscounted_return,mean_episode_length,policy_difference_from_optimal,train_stop,stopped_early,training_time_s
learning_rate,high_fixed_alpha,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,high_fixed_alpha,mc,A1_grid,0,1.0,-21.0,32.0,0.273504,100000,False,140.199
learning_rate,high_fixed_alpha,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,4556,True,2.896
learning_rate,high_fixed_alpha,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,high_fixed_alpha,mc,A1_grid,1,0.0,-1000.0,1000.0,0.350427,100000,False,142.389
learning_rate,high_fixed_alpha,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,6260,True,3.875
learning_rate,high_fixed_alpha,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.079
learning_rate,high_fixed_alpha,mc,A1_grid,2,1.0,-19.0,30.0,0.247863,100000,False,140.551
learning_rate,high_fixed_alpha,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,4909,True,2.978
learning_rate,high_fixed_alpha,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.077
learning_rate,high_fixed_alpha,mc,A1_grid,3,1.0,-19.0,30.0,0.230769,100000,False,141.55
learning_rate,high_fixed_alpha,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,5598,True,3.371
learning_rate,high_fixed_alpha,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,high_fixed_alpha,mc,A1_grid,4,1.0,-25.0,36.0,0.205128,100000,False,136.381
learning_rate,high_fixed_alpha,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,7550,True,4.385
learning_rate,decaying_alpha,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,decaying_alpha,mc,A1_grid,0,1.0,-19.0,30.0,0.076923,13624,True,8.019
learning_rate,decaying_alpha,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,2910,True,1.812
learning_rate,decaying_alpha,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,decaying_alpha,mc,A1_grid,1,1.0,-19.0,30.0,0.051282,9734,True,6.162
learning_rate,decaying_alpha,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,2886,True,1.798
learning_rate,decaying_alpha,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,decaying_alpha,mc,A1_grid,2,1.0,-21.0,32.0,0.059829,8228,True,5.407
learning_rate,decaying_alpha,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,3236,True,2.02
learning_rate,decaying_alpha,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.077
learning_rate,decaying_alpha,mc,A1_grid,3,1.0,-19.0,30.0,0.059829,10180,True,6.433
